Top pagess,Clicks,Impressions,CTR,Position
"https://nursinghomeaudit.com/facility/ec70eab8-2aa3-4e08-9f69-5c6d66262314",1,2,50.00%,3.00
"https://www.nursinghomeaudit.com/city/lockhart",1,1,100.00%,28.00
"https://www.nursinghomeaudit.com/facility/f5faadc7-182f-4454-be28-c636f321746e",1,1,100.00%,8.00
"https://nursinghomeaudit.com/city/bandera",0,1,0%,36.00
"https://nursinghomeaudit.com/city/corpus-christi",0,1,0%,7.00
"https://nursinghomeaudit.com/city/marshall",0,1,0%,8.00
"https://nursinghomeaudit.com/city/waco",0,1,0%,5.00
"https://nursinghomeaudit.com/facility/372fb331-cd19-4569-9a65-0fdd36eaa63e",0,1,0%,10.00
"https://nursinghomeaudit.com/facility/73e85247-0c23-42c8-9de8-068f1c75e81e",0,3,0%,4.33
"https://nursinghomeaudit.com/facility/8058a153-7d2e-466d-8977-57d0fe32a360",0,1,0%,72.00
"https://nursinghomeaudit.com/facility/8a1cc79b-08b1-4663-bc4e-247432733d6e",0,1,0%,8.00
"https://nursinghomeaudit.com/facility/a3fb2d09-f4b2-4924-b522-4de372932e57",0,1,0%,9.00
"https://nursinghomeaudit.com/facility/cf0130d4-485e-48c3-9e48-189d890164a3",0,2,0%,6.50
"https://www.nursinghomeaudit.com/facility/0011889d-ead4-444c-b6b3-04b893c770fc",0,1,0%,4.00
"https://www.nursinghomeaudit.com/facility/513aa29d-43c9-42da-a12d-c0ab4e6ba80a",0,1,0%,7.00
"https://www.nursinghomeaudit.com/facility/bd79f542-4ad5-457e-8322-a0897271f90b",0,1,0%,9.00
"https://www.nursinghomeaudit.com/facility/c5465b7b-1838-4e58-be1a-1eccb26dc0e8",0,3,0%,8.33
